,DATA,ESTACAO,SVID,S4,ZERO,AZ,EL,ROTI,TEC_R,S_N,DPR,DPC,MIN
173 0.024 0000  348  85 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),173,24,0,348,85,0.00,0.1,0.0,0.0,0.0,0
174 0.032 0000   55  18 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),174,32,0,55,18,0.00,0.1,0.0,0.0,0.0,0
223 0.015 0000  217  40 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),223,15,0,217,40,0.00,0.1,0.0,0.0,0.0,0
224 0.044 0000   32  28 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),224,44,0,32,28,0.00,0.1,0.0,0.0,0.0,0
225 0.559 0000    2  12 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),225,559,0,2,12,0.00,0.1,0.0,0.0,0.0,0
226 0.086 0000  103   4 0.00  0.1  0.0 0.0 0.0 0,2026-01-03,Vitória da Conquista (BA),226,86,0,103,4,0.00,0.1,0.0,0.0,0.0,0
4 0.282 0000   60  25 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),4,282,0,60,25,0.00,0.1,0.0,0.0,0.0,0
5 0.081 0000  225   7 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),5,81,0,225,7,0.00,0.1,0.0,0.0,0.0,0
7 0.058 0000  162  37 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),7,58,0,162,37,0.00,0.1,0.0,0.0,0.0,0
8 0.023 0000  123  18 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),8,23,0,123,18,0.00,0.1,0.0,0.0,0.0,0
9 0.044 0000   82  57 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),9,44,0,82,57,0.00,0.1,0.0,0.0,0.0,0
14 0.012 0000  290  62 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),14,12,0,290,62,0.00,0.1,0.0,0.0,0.0,0
17 0.701 0000  358  20 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),17,701,0,358,20,0.00,0.1,0.0,0.0,0.0,0
19 0.579 0000  343   4 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),19,579,0,343,4,0.00,0.1,0.0,0.0,0.0,0
20 0.038 0000  252  26 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),20,38,0,252,26,0.00,0.1,0.0,0.0,0.0,0
21 0.568 0000  243  31 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),21,568,0,243,31,0.00,0.1,0.0,0.0,0.0,0
22 0.894 0000  309  45 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),22,894,0,309,45,0.00,0.1,0.0,0.0,0.0,0
30 0.059 0000  202  39 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),30,59,0,202,39,0.00,0.1,0.0,0.0,0.0,0
38 0.081 0000  202  34 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),38,81,0,202,34,0.00,0.1,0.0,0.0,0.0,0
44 0.315 0000   35  31 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),44,315,0,35,31,0.00,0.1,0.0,0.0,0.0,0
45 0.014 0000  102  80 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),45,14,0,102,80,0.00,0.1,0.0,0.0,0.0,0
47 0.042 0000  157  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),47,42,0,157,16,0.00,0.1,0.0,0.0,0.0,0
49 0.426 0000  285  31 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),49,426,0,285,31,0.00,0.1,0.0,0.0,0.0,0
77 0.024 0000  173  55 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),77,24,0,173,55,0.00,0.1,0.0,0.0,0.0,0
78 0.112 0000   84  44 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),78,112,0,84,44,0.00,0.1,0.0,0.0,0.0,0
83 0.458 0000  340   9 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),83,458,0,340,9,0.00,0.1,0.0,0.0,0.0,0
91 0.048 0000  320  15 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),91,48,0,320,15,0.00,0.1,0.0,0.0,0.0,0
96 0.348 0000  292   6 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),96,348,0,292,6,0.00,0.1,0.0,0.0,0.0,0
97 0.011 0000  307  68 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),97,11,0,307,68,0.00,0.1,0.0,0.0,0.0,0
99 0.044 0000  217  15 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),99,44,0,217,15,0.00,0.1,0.0,0.0,0.0,0
100 0.015 0000  151  56 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),100,15,0,151,56,0.00,0.1,0.0,0.0,0.0,0
121 0.094 0000   70  46 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),121,94,0,70,46,0.00,0.1,0.0,0.0,0.0,0
123 0.163 0000   83  16 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),123,163,0,83,16,0.00,0.1,0.0,0.0,0.0,0
131 0.152 0000  274   5 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),131,152,0,274,5,0.00,0.1,0.0,0.0,0.0,0
136 0.218 0000   76  35 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),136,218,0,76,35,0.00,0.1,0.0,0.0,0.0,0
152 0.860 0000   24  14 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),152,860,0,24,14,0.00,0.1,0.0,0.0,0.0,0
154 0.016 0000  222  58 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),154,16,0,222,58,0.00,0.1,0.0,0.0,0.0,0
161 0.472 0000   30  37 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),161,472,0,30,37,0.00,0.1,0.0,0.0,0.0,0
164 0.020 0000  219  53 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),164,20,0,219,53,0.00,0.1,0.0,0.0,0.0,0
165 1.031 0000  281  19 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),165,1.031,0,281,19,0.00,0.1,0.0,0.0,0.0,0
166 0.014 0000  155  33 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),166,14,0,155,33,0.00,0.1,0.0,0.0,0.0,0
173 0.023 0000  217  31 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),173,23,0,217,31,0.00,0.1,0.0,0.0,0.0,0
174 0.103 0000  359  11 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),174,103,0,359,11,0.00,0.1,0.0,0.0,0.0,0
175 0.069 0000   95   9 0.00  0.1  0.0 0.0 0.0 0,2026-01-04,Vitória da Conquista (BA),175,69,0,95,9,0.00,0.1,0.0,0.0,0.0,0
